EstablishmentID,InspectionDate,InspectionID,EstTypeDesc,premise_name,premise_adr1_num,premise_adr1_street,premise_city,premise_state,premise_zip,InspectionType,score,InspTypeSpecificViolID,ViolationDesc,critical_yn,Insp_Viol_Comments,rpt_area_id,ObjectId
65555,2018/04/04 04:00:00+00,1369812,FOOD SERVICE,TUMBLEWEED,4255,OUTER LOOP,LOUISVILLE,KY,40219,REGULAR,66,26,"Toilet rooms enclosed, self-closing doors, fixtures, good repair, clean, tissue, hand cleansers, sanitary towels/hand-drying devices provided, proper waste receptacles ",No,Hand cleaner not provided at lavatory or handwashing sink.  ,605,19
65555,2018/04/04 04:00:00+00,1369812,FOOD SERVICE,TUMBLEWEED,4255,OUTER LOOP,LOUISVILLE,KY,40219,REGULAR,66,27,"Containers or receptacles, covered, adequate number, insect/rodent proof, frequency, clean. Outside storage area enclosures properly constructed, clean, controlled incineration",No,Garbage and refuse containers not covered as required. (dumpster)  ,605,20
65555,2018/04/04 04:00:00+00,1369812,FOOD SERVICE,TUMBLEWEED,4255,OUTER LOOP,LOUISVILLE,KY,40219,REGULAR,66,29,Outer openings protected,No,Outer openings not protected against the entry of pests. (back door)  ,605,21
65555,2018/04/04 04:00:00+00,1369812,FOOD SERVICE,TUMBLEWEED,4255,OUTER LOOP,LOUISVILLE,KY,40219,REGULAR,66,31,"Walls, ceiling, attached equipment constructed, good repair, clean surfaces, easily cleanable. Rooms and equipment vented as required",No,Hoods not clean.  ,605,22
65555,2018/04/04 04:00:00+00,1369812,FOOD SERVICE,TUMBLEWEED,4255,OUTER LOOP,LOUISVILLE,KY,40219,REGULAR,66,33,"TOXIC ITEMS PROPERLY STORED, LABELED, USED",Yes,Toxic items do not bear a legible manufacturer`s label.  ,605,23
81288,2018/01/25 05:00:00+00,1353161,FOOD SERVICE,DAKSHIN,4742,BARDSTOWN RD,LOUISVILLE,KY,40218,REGULAR,80,11,"HANDS WASHED AND CLEAN,HYGIENIC PRACTICES PREVENTING CONTAMINATION FROM HANDS",Yes,OBSERVED  PERSONAL DRINKS NOT STORED PROPERLY    ,605,24
81288,2018/01/25 05:00:00+00,1353161,FOOD SERVICE,DAKSHIN,4742,BARDSTOWN RD,LOUISVILLE,KY,40218,REGULAR,80,17,"SANITIZATION RINSE, TEMP., CONCE., EXP. TIME, EQUIP. UTENSILS, SANITIZED",Yes,The chlorine solution for mechanical warewashing is not at the proper concentration level.  ,605,25
81288,2018/01/25 05:00:00+00,1353161,FOOD SERVICE,DAKSHIN,4742,BARDSTOWN RD,LOUISVILLE,KY,40218,REGULAR,80,12,"Clean clothes, hair restraints",No,No hair restraints.  ,605,26
81288,2018/01/25 05:00:00+00,1353161,FOOD SERVICE,DAKSHIN,4742,BARDSTOWN RD,LOUISVILLE,KY,40218,REGULAR,80,15,"Food/Non-food contact surfaces designed, constructed, maintained, installed",No,All non food contact surfaces must be in good repair.  All surfaces must be properly constructed and in good repair.  ,605,27
81288,2018/01/25 05:00:00+00,1353161,FOOD SERVICE,DAKSHIN,4742,BARDSTOWN RD,LOUISVILLE,KY,40218,REGULAR,80,19,Food/Non-food contact surfaces of equip/utensils clean,No,All non food contact surfaces must be clean aat all times.  Microwave in need of cleaning.  Dry storage shelves in need of cleaning.  ,605,28
81288,2018/01/25 05:00:00+00,1353161,FOOD SERVICE,DAKSHIN,4742,BARDSTOWN RD,LOUISVILLE,KY,40218,REGULAR,80,23,"Installed, maintained",No,Plumbing not maintained in good repair.  Potable water pipe leking going to the 3-compartment sink.,605,29
81288,2018/01/25 05:00:00+00,1353161,FOOD SERVICE,DAKSHIN,4742,BARDSTOWN RD,LOUISVILLE,KY,40218,REGULAR,80,30,"Floors constructed, drained, clean, good repair, covering installation, easily cleanable",No,Floors not clean.  Floors in need of cleaning under and behind equipment.  ,605,30
81288,2018/01/25 05:00:00+00,1353161,FOOD SERVICE,DAKSHIN,4742,BARDSTOWN RD,LOUISVILLE,KY,40218,REGULAR,80,31,"Walls, ceiling, attached equipment constructed, good repair, clean surfaces, easily cleanable. Rooms and equipment vented as required",No,Ceiling not in good repair.  Ceiling tile missing.  Ceiling and ceiling vents in need of cleaning.  ,605,31
81288,2018/01/25 05:00:00+00,1353161,FOOD SERVICE,DAKSHIN,4742,BARDSTOWN RD,LOUISVILLE,KY,40218,REGULAR,80,9,Handling of food (ice) minimized. Dispensing utensils properly stored during use.,No,Suitable dispensing utensils not being used by employees for handling food.  Cease storing in use utensils in standing water.  In use food (ice) dispensing utensil not properly stored.  ,605,32
81288,2018/01/25 05:00:00+00,1353161,FOOD SERVICE,DAKSHIN,4742,BARDSTOWN RD,LOUISVILLE,KY,40218,REGULAR,80,8,"Food Protection - storage, prep, display, service, transp.",No,Food not protected during storage.  ,605,33
88448,2018/03/02 05:00:00+00,1364374,FOOD SERVICE,MCALISTER'S DELI #1350,980,BRECKENRIDGE LN,LOUISVILLE,KY,40207,REGULAR,82,3,POTENTIALLY HAZARDOUS FOOD-SAFE TEMP.,Yes,"POTENTIALLY HAZARDOUS FOODS HELD AT UNSAFE TEMPERATURES. VARIOUS COLD CUTS, SANDWICHES HELD AT 46-50F",605,34
88448,2018/03/02 05:00:00+00,1364374,FOOD SERVICE,MCALISTER'S DELI #1350,980,BRECKENRIDGE LN,LOUISVILLE,KY,40207,REGULAR,82,9,Handling of food (ice) minimized. Dispensing utensils properly stored during use.,No,IMPROPER KNIFE STORAGE,605,35
88448,2018/03/02 05:00:00+00,1364374,FOOD SERVICE,MCALISTER'S DELI #1350,980,BRECKENRIDGE LN,LOUISVILLE,KY,40207,REGULAR,82,16,"Dishwashing facilities, designed, constructed, maintained, installed, located, operated. Accurate therm., chem. test kits, gauge",No,IMPROPER DISHWASH PROCEDURE,605,36
88448,2018/03/02 05:00:00+00,1364374,FOOD SERVICE,MCALISTER'S DELI #1350,980,BRECKENRIDGE LN,LOUISVILLE,KY,40207,REGULAR,82,17,"SANITIZATION RINSE, TEMP., CONCE., EXP. TIME, EQUIP. UTENSILS, SANITIZED",Yes,DISHWARE NOT SANITIZED,605,37
88448,2018/03/02 05:00:00+00,1364374,FOOD SERVICE,MCALISTER'S DELI #1350,980,BRECKENRIDGE LN,LOUISVILLE,KY,40207,REGULAR,82,20,"Storage, handling of clean equipment/utensils/single service articles",No,IMPROPER STORAGE OF SINGLE SERVICE ITEMS,605,38
88448,2018/03/02 05:00:00+00,1364374,FOOD SERVICE,MCALISTER'S DELI #1350,980,BRECKENRIDGE LN,LOUISVILLE,KY,40207,REGULAR,82,26,"Toilet rooms enclosed, self-closing doors, fixtures, good repair, clean, tissue, hand cleansers, sanitary towels/hand-drying devices provided, proper waste receptacles ",No,PAPER TOWELS NOT PRESENT AT REAR HANDSINK,605,39
88448,2018/03/02 05:00:00+00,1364374,FOOD SERVICE,MCALISTER'S DELI #1350,980,BRECKENRIDGE LN,LOUISVILLE,KY,40207,REGULAR,82,27,"Containers or receptacles, covered, adequate number, insect/rodent proof, frequency, clean. Outside storage area enclosures properly constructed, clean, controlled incineration",No,DUMPSTER ON CLOSURE NOT CLEAN,605,40
79927,2018/04/12 04:00:00+00,1371471,FOOD SERVICE,SIERRA TARASCA RESTAURANT,6501,OLD SHEPHERDSVILLE RD,LOUISVILLE,KY,40219,REGULAR,79,33,"TOXIC ITEMS PROPERLY STORED, LABELED, USED",Yes,Toxic items do not bear a legible manufacturer`s label.  ,605,41
79927,2018/04/12 04:00:00+00,1371471,FOOD SERVICE,SIERRA TARASCA RESTAURANT,6501,OLD SHEPHERDSVILLE RD,LOUISVILLE,KY,40219,REGULAR,79,26,"Toilet rooms enclosed, self-closing doors, fixtures, good repair, clean, tissue, hand cleansers, sanitary towels/hand-drying devices provided, proper waste receptacles ",No,"Individual disposable towels, a continuous towel system and/or or hand drying device not provided at lavatory or handsink.  ",605,42
79927,2018/04/12 04:00:00+00,1371471,FOOD SERVICE,SIERRA TARASCA RESTAURANT,6501,OLD SHEPHERDSVILLE RD,LOUISVILLE,KY,40219,REGULAR,79,28,"INSECTS/RODENTS-NO BIRDS, TURTLES, OTHER ANIMALS",Yes,Presence of insects.  ,605,43
79927,2018/04/12 04:00:00+00,1371471,FOOD SERVICE,SIERRA TARASCA RESTAURANT,6501,OLD SHEPHERDSVILLE RD,LOUISVILLE,KY,40219,REGULAR,79,29,Outer openings protected,No,Outer openings not protected against the entry of pests.  ,605,44
79927,2018/04/12 04:00:00+00,1371471,FOOD SERVICE,SIERRA TARASCA RESTAURANT,6501,OLD SHEPHERDSVILLE RD,LOUISVILLE,KY,40219,REGULAR,79,31,"Walls, ceiling, attached equipment constructed, good repair, clean surfaces, easily cleanable. Rooms and equipment vented as required",No,"Walls and/or ceiling are not designed, constructed and/or installed properly. (walls and baseboards in disrepair) (peeling paint on wall)  ",605,45
79927,2018/04/12 04:00:00+00,1371471,FOOD SERVICE,SIERRA TARASCA RESTAURANT,6501,OLD SHEPHERDSVILLE RD,LOUISVILLE,KY,40219,REGULAR,79,3,POTENTIALLY HAZARDOUS FOOD-SAFE TEMP.,Yes,"Potentially hazardous food not maintained at 41 degrees Fahrenheit or below at all times except during necessary periods of preparation and service. (shrimp at 53 degrees F, and steak at 56 degrees F) (discarded)  Potentially hazardous food requiring refrigeration not rapidly cooled to an internal temperature of 41 degrees Fahrenheit or below. (cooked beef) (discarded)  ",605,46
79927,2018/04/12 04:00:00+00,1371471,FOOD SERVICE,SIERRA TARASCA RESTAURANT,6501,OLD SHEPHERDSVILLE RD,LOUISVILLE,KY,40219,REGULAR,79,15,"Food/Non-food contact surfaces designed, constructed, maintained, installed",No,Gasket(s) in disrepair.  ,605,47
79927,2018/04/12 04:00:00+00,1371471,FOOD SERVICE,SIERRA TARASCA RESTAURANT,6501,OLD SHEPHERDSVILLE RD,LOUISVILLE,KY,40219,REGULAR,79,19,Food/Non-food contact surfaces of equip/utensils clean,No,Non-food contact surfaces have accumulation of soil. (raw meat cooler)  ,605,48
79927,2018/04/12 04:00:00+00,1371471,FOOD SERVICE,SIERRA TARASCA RESTAURANT,6501,OLD SHEPHERDSVILLE RD,LOUISVILLE,KY,40219,REGULAR,79,18,"Wiping cloths clean, use restricted",No,Storing of chemical sanitizing solution containers on floor.  ,605,49
71263,2018/03/07 05:00:00+00,1363542,FOOD SERVICE,CHEER KING STAR,231,S 5TH ST,LOUISVILLE,KY,40202,REGULAR,76,1,"SOURCE, RECORDS, CONDITION, SPOILAGE, ADULTERATED",Yes,"Food and ice adulterated or contaminated. (cooked foods, ready to eat, stored in raw chicken boxes)    Ready to ead foods stored on top of, in contact with refuse containers    Not clearly marked to indicate the date or day by which food shall be consumed, sold or discarded on the premises.    Corrected, discarded immediately  ",605,50
92726,2017/12/14 05:00:00+00,1344780,FOOD SERVICE,ACAPULCO,5404,ANTLE DR,LOUISVILLE,KY,40229,REGULAR,66,1,"SOURCE, RECORDS, CONDITION, SPOILAGE, ADULTERATED",Yes,"Unwholesome spoiled fruits, vegetables or other foods. (cooked beef dated 12/6/17 inside of walk-in cooler) (discarded)  ",605,51
92726,2017/12/14 05:00:00+00,1344780,FOOD SERVICE,ACAPULCO,5404,ANTLE DR,LOUISVILLE,KY,40229,REGULAR,66,17,"SANITIZATION RINSE, TEMP., CONCE., EXP. TIME, EQUIP. UTENSILS, SANITIZED",Yes,Food contact surfaces not clean and sanitized. (can-opener blade) (corrected)  ,605,52
92726,2017/12/14 05:00:00+00,1344780,FOOD SERVICE,ACAPULCO,5404,ANTLE DR,LOUISVILLE,KY,40229,REGULAR,66,19,Food/Non-food contact surfaces of equip/utensils clean,No,Non-food contact surfaces have accumulation of soil. (soda nozzles and holster)  ,605,53
92726,2017/12/14 05:00:00+00,1344780,FOOD SERVICE,ACAPULCO,5404,ANTLE DR,LOUISVILLE,KY,40229,REGULAR,66,26,"Toilet rooms enclosed, self-closing doors, fixtures, good repair, clean, tissue, hand cleansers, sanitary towels/hand-drying devices provided, proper waste receptacles ",No,Toilet room doors not self-closing.  Hand cleaner not provided at lavatory or handwashing sink.  Handwashing sink is being used for other purposes other than handwashing. (hand sink used to wash soda nozzles)  ,605,54
92726,2017/12/14 05:00:00+00,1344780,FOOD SERVICE,ACAPULCO,5404,ANTLE DR,LOUISVILLE,KY,40229,REGULAR,66,29,Outer openings protected,No,Outer openings not protected against the entry of pests. (back door)  ,605,55
92726,2017/12/14 05:00:00+00,1344780,FOOD SERVICE,ACAPULCO,5404,ANTLE DR,LOUISVILLE,KY,40229,REGULAR,66,33,"TOXIC ITEMS PROPERLY STORED, LABELED, USED",Yes,Toxic items do not bear a legible manufacturer`s label.  Oven cleaner used to clean the can-opener blade.  ,605,56
92726,2017/12/14 05:00:00+00,1344780,FOOD SERVICE,ACAPULCO,5404,ANTLE DR,LOUISVILLE,KY,40229,REGULAR,66,34,"Premises main, free of litter, misc. articles, cleaning/maint. equip. properly stored. Authorized personnel rooms clean, lockers provided, located, used",No,Employee personal items improperly stored. (jacket stored against coke products)  ,605,57
100913,2017/10/23 04:00:00+00,1331037,FOOD SERVICE,GUSTAVO'S MEXICAN GRILL,6051,TIMBER RIDGE DR,PROSPECT,KY,40059,REGULAR,83,11,"HANDS WASHED AND CLEAN,HYGIENIC PRACTICES PREVENTING CONTAMINATION FROM HANDS",Yes,Hands not washed properly.  Bare hand contact with ready-to eat foods.  Employee drink(s) without lids and straws  Improper storage of personal drink(s)/food  ,605,58
92726,2017/12/14 05:00:00+00,1344780,FOOD SERVICE,ACAPULCO,5404,ANTLE DR,LOUISVILLE,KY,40229,REGULAR,66,23,"Installed, maintained",No,Plumbing not maintained in good repair. (cups and cutting board stored next to hand sink without a splash guard)  ,605,59
92726,2017/12/14 05:00:00+00,1344780,FOOD SERVICE,ACAPULCO,5404,ANTLE DR,LOUISVILLE,KY,40229,REGULAR,66,9,Handling of food (ice) minimized. Dispensing utensils properly stored during use.,No,In use food (ice) dispensing utensil not properly stored.  Utensil handle in contact with food.  ,605,60
82249,2018/02/12 05:00:00+00,1358191,FOOD SERVICE,SELENA'S AT WILLOW LAKE TAVERN,10609,LAGRANGE RD,LOUISVILLE,KY,40223,REGULAR,84,2,"Container, properly labeled",No,Bulk food not stored in the product container or package in which it was obtained and without identifying (identity) label.  Container(s) without label  ,605,61
82249,2018/02/12 05:00:00+00,1358191,FOOD SERVICE,SELENA'S AT WILLOW LAKE TAVERN,10609,LAGRANGE RD,LOUISVILLE,KY,40223,REGULAR,84,5,Thermometers provided and conspicuous,No,Lack of accurate thermometers in all refrigeration and freezing units storing potentially hazardous foods.  ,605,62
82249,2018/02/12 05:00:00+00,1358191,FOOD SERVICE,SELENA'S AT WILLOW LAKE TAVERN,10609,LAGRANGE RD,LOUISVILLE,KY,40223,REGULAR,84,11,"HANDS WASHED AND CLEAN,HYGIENIC PRACTICES PREVENTING CONTAMINATION FROM HANDS",Yes,"Employee drink(s) without lids and straws  Improper storage of personal drink(s)/food  Employee eating, drinking, smoking in unauthorized area.  ",605,63
82249,2018/02/12 05:00:00+00,1358191,FOOD SERVICE,SELENA'S AT WILLOW LAKE TAVERN,10609,LAGRANGE RD,LOUISVILLE,KY,40223,REGULAR,84,17,"SANITIZATION RINSE, TEMP., CONCE., EXP. TIME, EQUIP. UTENSILS, SANITIZED",Yes,The chlorine solution for manual/mechanical warewashing is not at the proper concentration level. (Corrected)   ,605,64
82249,2018/02/12 05:00:00+00,1358191,FOOD SERVICE,SELENA'S AT WILLOW LAKE TAVERN,10609,LAGRANGE RD,LOUISVILLE,KY,40223,REGULAR,84,19,Food/Non-food contact surfaces of equip/utensils clean,No,Gaskets not clean on cooling and/or freezing units  ,605,65
82249,2018/02/12 05:00:00+00,1358191,FOOD SERVICE,SELENA'S AT WILLOW LAKE TAVERN,10609,LAGRANGE RD,LOUISVILLE,KY,40223,REGULAR,84,15,"Food/Non-food contact surfaces designed, constructed, maintained, installed",No,"Equipment not maintained in good repair and proper adjustment. (Reach-in unit doors not closing properly; ice machine covered with duct tape; shelves in upright cooler in disrepair)   ",605,66
82249,2018/02/12 05:00:00+00,1358191,FOOD SERVICE,SELENA'S AT WILLOW LAKE TAVERN,10609,LAGRANGE RD,LOUISVILLE,KY,40223,REGULAR,84,31,"Walls, ceiling, attached equipment constructed, good repair, clean surfaces, easily cleanable. Rooms and equipment vented as required",No,"Walls and/or ceiling are not designed, constructed and/or installed properly. (Chipping in areas)   ",605,67
82249,2018/02/12 05:00:00+00,1358191,FOOD SERVICE,SELENA'S AT WILLOW LAKE TAVERN,10609,LAGRANGE RD,LOUISVILLE,KY,40223,REGULAR,84,20,"Storage, handling of clean equipment/utensils/single service articles",No,Improper storage of clean utensils.  Food contact utensil(s) and equipment (i.e. knives) stored between equipment and/or walls  ,605,68
102662,2018/01/23 05:00:00+00,1352644,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,YOUNG KIDS ACADEMY 2,6501,SHEPHERDSVILLE RD STE 130,LOUISVILLE,KY,40228,REGULAR,88,11,"HANDS WASHED AND CLEAN,HYGIENIC PRACTICES PREVENTING CONTAMINATION FROM HANDS",Yes,Improper storage of employee food/drink(s). (inside of reach-in cooler) (corrected)  ,605,69
102662,2018/01/23 05:00:00+00,1352644,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,YOUNG KIDS ACADEMY 2,6501,SHEPHERDSVILLE RD STE 130,LOUISVILLE,KY,40228,REGULAR,88,1,"SOURCE, RECORDS, CONDITION, SPOILAGE, ADULTERATED",Yes,"Unwholesome spoiled fruits, vegetables or other foods.(deli meat dated 12/28) (discarded)  Not clearly marked to indicate the date or day by which food shall be consumed, sold or discarded on the premises.  ",605,70
78391,2018/03/02 05:00:00+00,1362190,FOOD SERVICE,GOOSE CREEK DINER,2923,GOOSE CREEK RD,LOUISVILLE,KY,40241,REGULAR,86,11,"HANDS WASHED AND CLEAN,HYGIENIC PRACTICES PREVENTING CONTAMINATION FROM HANDS",Yes,Hands not washed when changing gloves to prevent cross-contamination  Bare hand contact with ready-to eat foods.  ,605,71
66448,2018/03/29 04:00:00+00,1368445,FOOD SERVICE,JADE GARDEN,4801,OUTER LOOP,LOUISVILLE,KY,40219,FOLLOWUP,84,28,"INSECTS/RODENTS-NO BIRDS, TURTLES, OTHER ANIMALS",Yes,Presence of insects.  ,605,72
66448,2018/03/29 04:00:00+00,1368445,FOOD SERVICE,JADE GARDEN,4801,OUTER LOOP,LOUISVILLE,KY,40219,FOLLOWUP,84,11,"HANDS WASHED AND CLEAN,HYGIENIC PRACTICES PREVENTING CONTAMINATION FROM HANDS",Yes,Improper storage of employee food/drink(s). (employee drink stored over customer food)  ,605,73
66448,2018/03/29 04:00:00+00,1368445,FOOD SERVICE,JADE GARDEN,4801,OUTER LOOP,LOUISVILLE,KY,40219,FOLLOWUP,84,33,"TOXIC ITEMS PROPERLY STORED, LABELED, USED",Yes,Toxic items not properly stored. (chemicals stored next to customer food)  ,605,74
66448,2018/03/29 04:00:00+00,1368445,FOOD SERVICE,JADE GARDEN,4801,OUTER LOOP,LOUISVILLE,KY,40219,FOLLOWUP,84,31,"Walls, ceiling, attached equipment constructed, good repair, clean surfaces, easily cleanable. Rooms and equipment vented as required",No,Walls and ceiling are not clean. (stained tiles)  ,605,75
66448,2018/03/29 04:00:00+00,1368445,FOOD SERVICE,JADE GARDEN,4801,OUTER LOOP,LOUISVILLE,KY,40219,FOLLOWUP,84,9,Handling of food (ice) minimized. Dispensing utensils properly stored during use.,No,Utensil handle in contact with ice.  ,605,76
99222,2018/05/08 04:00:00+00,1378058,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,PROVIDENCE CHILD CARE & PRESCHOOL,11850,COMMONWEALTH DR,LOUISVILLE,KY,40299,REGULAR,94,17,"SANITIZATION RINSE, TEMP., CONCE., EXP. TIME, EQUIP. UTENSILS, SANITIZED",Yes,The chlorine solution for mechanical warewashing is not at the proper concentration level.  ,605,77
96872,2018/01/29 05:00:00+00,1353843,FOOD SERVICE,PLEASE & THANK YOU BAKERY,231,N 17TH ST,LOUISVILLE,KY,40203,REGULAR,82,11,"HANDS WASHED AND CLEAN,HYGIENIC PRACTICES PREVENTING CONTAMINATION FROM HANDS",Yes,Hands not washed to prevent contamination from previous task.(corrected)  ,605,78
96872,2018/01/29 05:00:00+00,1353843,FOOD SERVICE,PLEASE & THANK YOU BAKERY,231,N 17TH ST,LOUISVILLE,KY,40203,REGULAR,82,12,"Clean clothes, hair restraints",No,No hair restraints.  ,605,79
96872,2018/01/29 05:00:00+00,1353843,FOOD SERVICE,PLEASE & THANK YOU BAKERY,231,N 17TH ST,LOUISVILLE,KY,40203,REGULAR,82,16,"Dishwashing facilities, designed, constructed, maintained, installed, located, operated. Accurate therm., chem. test kits, gauge",No,No chemical test kit.  ,605,80
96872,2018/01/29 05:00:00+00,1353843,FOOD SERVICE,PLEASE & THANK YOU BAKERY,231,N 17TH ST,LOUISVILLE,KY,40203,REGULAR,82,17,"SANITIZATION RINSE, TEMP., CONCE., EXP. TIME, EQUIP. UTENSILS, SANITIZED",Yes,The quarternary ammonium for manual/mechanical warewashing is not at the proper concentration level.(corrected)  ,605,81
96872,2018/01/29 05:00:00+00,1353843,FOOD SERVICE,PLEASE & THANK YOU BAKERY,231,N 17TH ST,LOUISVILLE,KY,40203,REGULAR,82,18,"Wiping cloths clean, use restricted",No,Cloths in use not stored in sanitizer solution.  ,605,82
96872,2018/01/29 05:00:00+00,1353843,FOOD SERVICE,PLEASE & THANK YOU BAKERY,231,N 17TH ST,LOUISVILLE,KY,40203,REGULAR,82,28,"INSECTS/RODENTS-NO BIRDS, TURTLES, OTHER ANIMALS",Yes,Presence of insects.(roach)  ,605,83
